January	313003566	2012
February	313158906	
March	313347540	
April	313527570	
May	313700138	
June	313896891	
July	314102623	
August	314333989	
September	314581485	
October	314810346	
November	315020775	
December	315211642	
January	315388533	2013
February	315526460	
March	315681511	
April	315857345	
May	316014496	
June	316227087	
July	316427395	
August	316653128	
September	316901532	
October	317142007	
November	317378856	
December	317575450	
January	317780510	2014
February	317944407	
March	318106044	
April	318284098	
May	318482297	
June	318694246	
July	318907401	
August	319156025	
September	319405217	
October	319643987	
November	319875523	
December	320086785	
January	320289069	2015
February	320440986	
March	320611232	
April	320796760	
May	320990058	
June	321202465	
July	321418820	
August	321658542	
September	321902568	
October	322136791	
November	322360526	
December	322561729	
