Area,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY,US
2012Q1,177676,51237,254280,106418,1988198,258261,228889,57307,729286,415871,68635,54213,674477,281540,147147,132093,168247,217625,50565,318250,410102,396626,279522,95885,253184,38151,94448,119635,63432,494558,81558,1207714,426942,43089,511474,152740,202705,592256,49214,169300,40342,265344,1303448,119781,27115,425946,369114,64795,260135,35929,15081265
2012Q2,178264,52624,256640,106835,1997248,261314,227650,56695,727751,417011,68856,54478,673249,282547,150202,131017,168595,219554,50856,315833,413238,397400,276242,96130,252678,37831,95389,120047,63736,494487,82735,1227944,420441,45536,516502,154024,201885,591834,49408,168790,40082,267850,1311105,119547,27490,426585,371328,64658,261764,36182,15138057
2012Q3,175852,52081,254691,105912,2003919,261175,226865,55966,736711,416160,69071,54884,670824,280635,149406,128774,167028,213871,50192,317828,414728,398263,278938,95016,250855,38001,94396,119724,64012,501544,81559,1235990,420076,46305,514576,154110,198989,592560,49277,167861,37571,266307,1321805,118883,27164,426300,373598,63294,259795,35049,15145025
2012Q4,176378,51112,254419,104639,2037903,262872,227597,54746,731966,413541,68277,54076,660111,277216,147753,128759,164602,211870,49187,313745,408939,398227,276178,93542,250876,37864,94092,117883,64056,496852,80291,1249121,415420,46441,510066,159996,193647,588013,48327,165850,39526,266457,1352482,120210,26612,423196,367774,62287,258600,34703,15145610
2013Q1,179167,50259,254832,107480,2018111,263479,226528,54891,743339,421089,69489,54753,665516,285713,149976,128328,169007,212555,50097,316297,409215,406254,280485,94796,254069,38317,96958,119535,63931,497408,81300,1210530,420348,44804,516420,155664,195136,591157,49553,169104,39197,269517,1371132,121830,26945,425199,372546,63464,261057,35479,15209883
2013Q2,178747,49010,256131,107717,2037216,263598,225407,55088,742372,420069,69005,55446,658906,283126,148529,128332,167919,210102,49557,315179,408092,405863,281282,93655,252911,38390,95689,118721,63366,497566,81288,1219807,421930,45464,514553,157862,195147,596008,48907,167770,39311,266564,1384305,122828,26857,423028,372424,64011,261148,35340,15229067
2013Q3,180674,49115,257396,108592,2062056,266617,227392,54883,750959,422287,68787,56096,660335,285352,150477,128763,168935,210469,49611,315168,413800,407747,287031,95722,253641,38662,96697,119576,63514,498230,81268,1227180,428315,47034,514971,157865,195845,595673,49155,170980,39731,268434,1405189,124453,26705,424738,376706,64460,263129,35702,15353793
2013Q4,180499,48661,260396,108653,2107654,270363,227541,56332,757995,426160,69373,56972,667291,285093,151602,129585,169397,211029,49536,316542,410983,410114,287057,94539,254038,38974,96888,120997,63654,501504,81462,1237266,431312,47747,517536,159857,197861,597545,49064,171822,40294,268698,1418594,124057,26846,425791,377247,65655,263936,36478,15477324
2014Q1,179860,48348,260741,108316,2074564,272192,226901,55651,758100,426168,69148,56419,663118,285229,148840,128348,168349,209560,49130,315458,414972,409615,284758,93818,252488,38651,96543,121661,63922,499123,81143,1238214,431807,47375,515685,159428,196636,598577,49375,170048,39606,268460,1425276,125014,26551,422790,380147,65073,260946,36410,15429677
2014Q2,181815,48388,262205,109366,2092880,276601,229245,56915,765770,431487,69461,56899,668804,286928,153066,130078,170641,213666,49415,319801,415645,413628,287288,94963,254900,39321,98990,122677,65058,504325,82080,1248737,434674,49456,520351,161285,199438,600665,49759,173767,40810,271856,1445523,125660,26690,426477,385047,67086,265170,37217,15592950
2014Q3,184547,48356,265356,110103,2120504,282044,229851,57818,773673,437621,69672,57539,673422,289409,154147,131769,171624,216609,49785,321834,420907,416243,291926,94770,256230,39649,99346,124353,65271,507800,83421,1266667,440490,50067,528541,164738,203301,606387,50091,174467,40981,273544,1473874,127072,27095,427883,387722,68145,267378,37949,15773659
2014Q4,183964,49245,265272,111101,2123858,286762,229609,57179,779069,439825,69465,58500,672168,291401,154179,132223,173049,217260,50330,320764,424629,416967,292295,94980,256732,39746,100298,126124,65838,508710,84640,1272414,443833,51016,528426,164258,203688,609364,50560,175620,40763,275358,1484006,128512,27324,428850,392422,68737,268519,38906,15840599
2015Q1,185077,49874,265982,110384,2158906,287713,229686,57385,785001,441587,70053,58144,677957,288062,147794,130641,172289,216434,48981,322552,422783,414061,293962,94630,255120,40710,98089,126016,64320,509307,82893,1259374,445153,49629,523563,166857,206917,608232,50129,175417,39166,273840,1501457,129723,26670,427502,393973,67376,265405,38302,15868329
2015Q2,186106,49928,268059,111462,2182531,290001,232422,58190,794817,445743,70925,58844,682888,290469,149422,131553,173876,217739,49488,326177,426996,418681,297221,95481,257397,41027,99117,127708,64929,515183,83148,1274796,449600,49485,529361,165860,208916,614424,50617,176937,39726,276413,1503343,131380,26868,431987,401653,67029,267934,38075,16016670
2015Q3,187136,49778,269503,111991,2193831,291725,233360,58341,798720,447951,71587,59415,685598,293104,151740,133649,174859,218603,49793,328109,429334,421657,299347,95937,259207,41383,100436,127932,65201,517107,83250,1277165,452682,49054,532348,165901,210071,618178,50884,178089,40612,277882,1503854,132321,27009,433326,402495,66693,269977,38104,16091561
